cell_id,batch,cycle_life,log_var_deltaQ,max_cap_cyc10,max_cap_cyc100,fade_cyc10_to_100
train_cell1,train,2160.0,-11.545755777554408,1.0659,1.0647,-0.0012000000000000899
train_cell2,train,1434.0,-10.229596145889655,1.0686,1.0664,-0.0021999999999999797
train_cell3,train,1074.0,-9.622563844838167,1.0635,1.0596,-0.0038999999999997925
train_cell4,train,870.0,-8.780779267662496,1.0823,1.075,-0.007300000000000084
train_cell5,train,788.0,-9.548532983839186,1.0386,1.0392,0.0005999999999999339
train_cell6,train,719.0,-9.25161430223913,1.0497,1.0488,-0.0009000000000001229
train_cell7,train,857.0,-9.141652225502042,1.0601,1.0563,-0.0038000000000000256
train_cell8,train,788.0,-8.335026853914043,1.0731,1.066,-0.007099999999999884
train_cell9,train,559.0,-7.714427071814592,1.0703,1.0537,-0.016599999999999948
train_cell10,train,1017.0,-9.069070363489338,1.0621,1.0579,-0.0041999999999999815
train_cell11,train,870.0,-8.738916864190053,1.0762,1.069,-0.007200000000000095
train_cell12,train,860.0,-8.85270621398561,1.0663,1.0594,-0.006900000000000128
train_cell13,train,709.0,-8.622440164490172,1.0677,1.0616,-0.006099999999999994
train_cell14,train,731.0,-8.396294867502121,1.0653,1.057,-0.008299999999999974
train_cell15,train,742.0,-8.861854187526047,1.0623,1.0568,-0.00550000000000006
train_cell16,train,704.0,-8.449279192433275,1.0671,1.0578,-0.009299999999999864
train_cell17,train,617.0,-7.904863709898485,1.0603,1.0481,-0.012199999999999989
train_cell18,train,966.0,-9.337368704572386,1.0713,1.0662,-0.005099999999999882
train_cell19,train,702.0,-8.440972527163657,1.0688,1.0606,-0.008199999999999985
train_cell20,train,616.0,-7.876424053381893,1.0736,1.0577,-0.015900000000000025
train_cell21,train,300.0,-6.322224647005541,1.0569,0.99626,-0.060639999999999916
train_cell22,train,438.0,-8.043462724306366,1.0614,1.0507,-0.010699999999999932
train_cell23,train,444.0,-7.718296677809333,1.0591,1.0391,-0.020000000000000018
train_cell24,train,511.0,-7.47048353125297,1.0573,1.0283,-0.028999999999999915
train_cell25,train,477.0,-7.973220048870185,1.0606,1.0452,-0.01540000000000008
train_cell26,train,483.0,-7.333338843411233,1.068,1.0461,-0.02190000000000003
train_cell27,train,494.0,-7.895501937487172,1.0574,1.0485,-0.008899999999999908
train_cell28,train,461.0,-7.635392705472724,1.0262,1.0079,-0.018299999999999983
train_cell29,train,489.0,-8.120144014528684,1.0661,1.0517,-0.014399999999999968
train_cell30,train,527.0,-8.119428638019937,1.0613,1.0445,-0.016799999999999926
train_cell31,train,461.0,-7.949532159743262,1.0532,1.04,-0.013199999999999878
train_cell32,train,468.0,-8.201332677762025,1.0541,1.0443,-0.009800000000000031
train_cell33,train,498.0,-8.540141076607211,1.0593,1.0548,-0.0044999999999999485
train_cell34,train,492.0,-8.35177465223614,1.0632,1.0544,-0.008799999999999919
train_cell35,train,520.0,-8.481912118862454,1.0695,1.0621,-0.007399999999999851
train_cell36,train,463.0,-8.03179990464864,1.054,1.0453,-0.008700000000000152
train_cell37,train,478.0,-8.112305072114209,1.0625,1.0537,-0.008799999999999919
train_cell38,train,459.0,-8.07192196845288,1.0686,1.0564,-0.012199999999999989
train_cell39,train,429.0,-7.918742741259556,1.058,1.0481,-0.00990000000000002
train_cell40,train,462.0,-7.817265434738739,1.0633,1.0495,-0.013799999999999812
train_cell41,train,487.0,-8.492868535663158,1.0578,1.0484,-0.009400000000000075
test1_cell1,test1,1852.0,-11.547407175184437,1.0588,1.0595,0.000700000000000145
test1_cell2,test1,2237.0,-10.90715051092567,1.0685,1.0677,-0.0007999999999999119
test1_cell3,test1,1709.0,-10.701744515904233,1.0665,1.0656,-0.0008999999999999009
test1_cell4,test1,636.0,-8.678076933911509,1.0656,1.0609,-0.0047000000000001485
test1_cell5,test1,1054.0,-9.347128299235255,1.0714,1.0681,-0.0032999999999998586
test1_cell6,test1,880.0,-9.316393048270397,1.0589,1.0564,-0.0024999999999999467
test1_cell7,test1,862.0,-9.43922576795823,1.0703,1.0658,-0.0044999999999999485
test1_cell8,test1,691.0,-8.404597492301752,1.0519,1.0432,-0.008700000000000152
test1_cell9,test1,534.0,-7.753350554518597,1.0591,1.0379,-0.021199999999999886
test1_cell10,test1,1014.0,-9.304336622947192,1.0679,1.0626,-0.005300000000000082
test1_cell11,test1,854.0,-9.274542877713104,1.0642,1.0606,-0.0036000000000000476
test1_cell12,test1,842.0,-8.873475552616425,1.0666,1.0612,-0.005400000000000071
test1_cell13,test1,917.0,-8.838045615309325,1.068,1.0614,-0.006600000000000161
test1_cell14,test1,876.0,-8.698453504342732,1.0845,1.0767,-0.007800000000000029
test1_cell15,test1,757.0,-8.443741912297783,1.0817,1.0712,-0.010500000000000176
test1_cell16,test1,703.0,-8.686664956870832,1.0601,1.0529,-0.007200000000000095
test1_cell17,test1,648.0,-8.4594628862998,1.0622,1.0555,-0.006699999999999928
test1_cell18,test1,625.0,-8.069528210438225,1.0702,1.0603,-0.00990000000000002
test1_cell19,test1,1051.0,-9.375006340806943,1.0677,1.0632,-0.0045000000000001705
test1_cell20,test1,651.0,-8.445439693388359,1.0535,1.0471,-0.006400000000000183
test1_cell21,test1,599.0,-7.886981913924894,1.0722,1.0562,-0.016000000000000014
test1_cell22,test1,148.0,-6.278926637995339,1.0397,0.94892,-0.09078000000000008
test1_cell23,test1,335.0,-6.745517558289034,1.052,1.0071,-0.04489999999999994
test1_cell24,test1,480.0,-8.295588818883598,1.054,1.0441,-0.00990000000000002
test1_cell25,test1,561.0,-8.349974383072784,1.0584,1.0452,-0.0132000000000001
test1_cell26,test1,458.0,-7.644821388798448,1.0585,1.0344,-0.02410000000000001
test1_cell27,test1,485.0,-8.05622827516472,1.0648,1.0546,-0.010199999999999987
test1_cell28,test1,487.0,-8.122704445847358,1.0499,1.0339,-0.016000000000000014
test1_cell29,test1,502.0,-8.56777316950417,1.0725,1.0619,-0.010599999999999943
test1_cell30,test1,513.0,-8.184243974259838,1.0676,1.0565,-0.01110000000000011
test1_cell31,test1,495.0,-8.509899539536102,1.056,1.0474,-0.008599999999999941
test1_cell32,test1,471.0,-7.845320004246776,1.0663,1.0512,-0.015100000000000113
test1_cell33,test1,509.0,-8.110355994928277,1.0612,1.0509,-0.010299999999999976
test1_cell34,test1,481.0,-8.300389467953503,1.0553,1.0481,-0.007199999999999873
test1_cell35,test1,519.0,-8.029229500159076,1.0639,1.055,-0.00890000000000013
test1_cell36,test1,499.0,-8.527521059793196,1.0583,1.0526,-0.005700000000000038
test1_cell37,test1,535.0,-8.20657296341116,1.069,1.0636,-0.005399999999999849
test1_cell38,test1,465.0,-8.14254545773497,1.058,1.0462,-0.011800000000000033
test1_cell39,test1,499.0,-8.196912378841873,1.0674,1.0562,-0.011199999999999877
test1_cell40,test1,466.0,-8.260107213666748,1.0668,1.0547,-0.0121
test1_cell41,test1,457.0,-7.949935654323398,1.0581,1.0456,-0.012499999999999956
test1_cell42,test1,429.0,-7.757308321541416,1.0617,1.0465,-0.015200000000000102
test1_cell43,test1,713.0,-9.288436237602475,1.0284,1.0246,-0.0038000000000000256
test2_cell1,test2,1009.0,-9.774804790293416,1.0554,1.0517,-0.0036999999999998145
test2_cell2,test2,1063.0,-9.867836325750815,1.0531,1.0494,-0.0036999999999998145
test2_cell3,test2,1115.0,-9.478658795967986,1.0514,1.0477,-0.0036999999999998145
test2_cell4,test2,1048.0,-9.62114451563531,1.0586,1.0555,-0.0030999999999998806
test2_cell5,test2,828.0,-9.473825833666426,1.0362,1.0327,-0.0035000000000000586
test2_cell6,test2,667.0,-8.118222718685239,1.0472,1.025,-0.022199999999999998
test2_cell7,test2,1836.0,-10.33577392115439,1.0545,1.0524,-0.0020999999999999908
test2_cell8,test2,828.0,-9.421716186240902,1.0515,1.048,-0.0035000000000000586
test2_cell9,test2,1039.0,-9.169503502551828,1.0567,1.0517,-0.004999999999999893
test2_cell10,test2,1078.0,-10.157562620570465,1.0486,1.0455,-0.0030999999999998806
test2_cell11,test2,817.0,-8.945292864885317,1.0538,1.0479,-0.005900000000000016
test2_cell12,test2,932.0,-9.087790023573294,1.0611,1.0551,-0.006000000000000005
test2_cell13,test2,816.0,-9.42775212550415,1.0512,1.0478,-0.0033999999999998476
test2_cell14,test2,858.0,-9.209584419401038,1.0604,1.0565,-0.0039000000000000146
test2_cell15,test2,876.0,-9.21194079246587,1.0535,1.0492,-0.0043000000000001926
test2_cell16,test2,1638.0,-10.809376843396787,1.0494,1.0464,-0.0030000000000001137
test2_cell17,test2,1315.0,-10.222755801899657,1.0548,1.0504,-0.0043999999999999595
test2_cell18,test2,1146.0,-9.795258139762128,1.0549,1.0499,-0.004999999999999893
test2_cell19,test2,1155.0,-9.606204311901823,1.0584,1.0529,-0.00550000000000006
test2_cell20,test2,813.0,-9.363201158133066,1.0508,1.0473,-0.0035000000000000586
test2_cell21,test2,772.0,-8.529418433037996,1.0537,1.0353,-0.018399999999999972
test2_cell22,test2,1002.0,-9.31802107281965,1.043,1.0371,-0.005900000000000016
test2_cell23,test2,825.0,-9.567748190723753,1.034,1.032,-0.0020000000000000018
test2_cell24,test2,989.0,-9.547881942513184,1.0496,1.0462,-0.0034000000000000696
test2_cell25,test2,1028.0,-9.715915630799996,1.0605,1.0564,-0.0040999999999999925
test2_cell26,test2,850.0,-9.509975231703145,1.0482,1.0453,-0.0029000000000001247
test2_cell27,test2,541.0,-7.947729809478446,1.0352,1.0135,-0.02169999999999983
test2_cell28,test2,858.0,-9.356698842916368,1.0524,1.0497,-0.0026999999999999247
test2_cell29,test2,935.0,-9.441121404217277,1.0568,1.0533,-0.0035000000000000586
test2_cell30,test2,731.0,-8.841006707816343,1.0545,1.0487,-0.005800000000000027
test2_cell31,test2,1284.0,-10.121827295899159,1.0475,1.0445,-0.0030000000000001137
test2_cell32,test2,1158.0,-9.914272677254193,1.0483,1.0444,-0.0039000000000000146
test2_cell33,test2,1093.0,-9.751185322976799,1.0497,1.0463,-0.0034000000000000696
test2_cell34,test2,923.0,-9.793912510507287,1.0442,1.0405,-0.0037000000000000366
test2_cell35,test2,1935.0,-9.99824346032137,1.057,1.0532,-0.0038000000000000256
test2_cell36,test2,1156.0,-10.2571611294676,1.0356,1.034,-0.0016000000000000458
test2_cell37,test2,796.0,-9.889919095060119,1.0461,1.0436,-0.0024999999999999467
test2_cell38,test2,786.0,-9.71574620211102,1.0407,1.0374,-0.0032999999999998586
test2_cell39,test2,940.0,-9.513115058216155,1.0574,1.0542,-0.0031999999999998696
test2_cell40,test2,1801.0,-10.409655398894625,1.0559,1.0532,-0.0027000000000001467
